Date,Time,Open,High,Low,Close
2020-03-20,13:14:00,20482.79,20451.75,20377.85,20446.25
2020-03-20,14:14:00,19872.71,19934.25,19803.3,19891.4
2020-03-20,15:14:00,20336.989999999998,20279.9,20231.25,20240.85
2020-03-23,09:07:00,18616.455,18311.3,18311.3,18311.3
2020-03-23,11:11:00,17361.079999999998,17396.0,17337.8,17369.3
2020-03-23,12:11:00,17407.864999999998,17509.7,17460.25,17460.25
2020-03-23,13:11:00,17394.34,17392.3,17350.8,17357.3
2020-03-23,14:11:00,16974.28,16970.0,16919.4,16957.6
2020-03-23,15:11:00,16867.335,16966.1,16899.25,16916.4
2020-03-24,09:07:00,17655.465,17705.85,17705.85,17705.85
2020-03-24,10:14:00,16309.38,16481.05,16407.55,16420.5
2020-03-24,11:14:00,16979.739999999998,16932.35,16849.8,16877.8
2020-03-24,12:14:00,16914.33,16930.9,16897.05,16917.7
2020-03-24,13:14:00,17305.86,17283.5,17246.15,17279.45
2020-03-24,14:14:00,17392.4,17426.0,17365.7,17383.55
2020-03-24,15:14:00,17182.04,17197.55,17140.45,17197.55
2020-03-25,09:07:00,17097.5,16759.95,16759.95,16759.95
2020-03-25,10:14:00,16922.835,17034.7,16968.55,16970.8
2020-03-25,11:14:00,17033.385000000002,17039.65,17002.5,17026.35
2020-03-25,12:14:00,17278.37,17271.35,17256.45,17266.7
2020-03-25,13:14:00,18492.0,18299.1,18267.95,18292.6
2020-03-25,14:14:00,18348.43,18306.35,18249.6,18306.35
2020-03-25,15:14:00,18455.25,18515.1,18450.65,18459.0
2020-03-26,09:07:00,18604.26,18781.85,18781.85,18781.85
2020-03-26,10:14:00,19954.065000000002,19821.55,19774.6,19818.5
2020-03-26,11:14:00,19912.754999999997,19916.4,19786.3,19914.95
2020-03-26,12:14:00,20240.195,20358.9,20284.65,20322.05
2020-03-26,13:14:00,20341.329999999998,20324.3,20304.4,20312.65
2020-03-26,14:14:00,19343.585,19532.4,19374.95,19374.95
2020-03-26,15:14:00,19603.989999999998,19588.45,19572.85,19576.45
2020-03-27,09:07:00,20906.565000000002,20801.6,20801.6,20801.6
2020-03-27,10:14:00,20724.24,20813.45,20620.25,20673.0
2020-03-27,11:14:00,19836.74,19826.0,19723.65,19749.5
2020-03-27,12:14:00,20256.165,20357.85,20276.4,20276.4
2020-03-27,13:14:00,19822.745,19920.6,19868.8,19878.95
2020-03-27,14:14:00,20435.989999999998,20364.55,20313.15,20351.05
2020-03-27,15:14:00,20018.91,20012.95,19977.65,19988.4
2020-03-30,09:07:00,19245.965000000004,19254.45,19254.45,19254.45
2020-03-30,10:14:00,19407.739999999998,19456.3,19415.95,19441.45
2020-03-30,11:14:00,19576.85,19589.4,19540.0,19587.85
2020-03-30,12:14:00,19327.88,19334.35,19306.05,19312.55
2020-03-30,13:14:00,19122.605,19119.2,19097.35,19113.5
2020-03-30,14:14:00,18996.925,19026.1,19010.8,19016.55
2020-03-30,15:14:00,18794.945,18849.5,18830.3,18840.6
2020-03-31,09:07:00,19130.57,19307.65,19307.65,19307.65
2020-03-31,10:14:00,19043.635000000002,19004.75,18947.75,18991.35
2020-03-31,11:14:00,18898.695,18856.3,18840.8,18853.9
2020-03-31,12:14:00,19250.390000000003,19214.5,19154.75,19198.05
2020-03-31,13:14:00,19134.56,19136.0,19105.95,19116.15
2020-03-31,14:14:00,19210.665,19251.7,19195.5,19207.4
2020-03-31,15:14:00,19093.69,19169.7,19135.95,19136.05
2020-04-01,09:07:00,18915.47,19122.4,19122.4,19122.4
2020-04-01,10:14:00,18499.775,18503.15,18479.55,18484.9
2020-04-01,11:14:00,18211.2,18184.35,18162.8,18172.6
2020-04-01,12:14:00,18353.16,18320.9,18285.1,18320.3
2020-04-01,13:14:00,18216.135000000002,18236.15,18224.1,18233.95
2020-04-01,14:14:00,18151.08,18127.0,18086.5,18124.85
2020-04-01,15:14:00,18207.83,18216.75,18196.45,18206.75
2020-04-03,09:07:00,17802.199999999997,18325.05,18325.05,18325.05
2020-04-03,10:14:00,17801.125000000004,17843.15,17800.0,17826.25
2020-04-03,11:14:00,17622.215,17599.15,17568.1,17571.3
2020-04-03,12:14:00,17571.955,17555.2,17542.2,17544.2
2020-04-03,13:14:00,17561.92,17608.35,17572.5,17580.15
2020-04-03,14:14:00,17283.894999999997,17306.3,17266.65,17301.95
2020-04-03,15:14:00,17254.065000000002,17248.4,17222.75,17223.35
2020-04-07,09:07:00,18309.515,18454.55,18454.55,18454.55
2020-04-07,10:14:00,18106.045000000006,18186.5,18118.15,18128.2
2020-04-07,11:14:00,18224.575,18200.6,18175.35,18193.25
2020-04-07,12:14:00,18303.88,18275.5,18258.15,18269.2
2020-04-07,13:14:00,18668.93,18674.2,18622.7,18667.3
2020-04-07,14:14:00,18920.344999999998,18941.25,18894.45,18894.45
2020-04-07,15:14:00,19097.82,19174.0,19152.0,19163.4
2020-04-08,09:07:00,18641.555,18799.4,18799.4,18799.4
2020-04-08,10:14:00,19829.04,19669.05,19595.7,19669.05
2020-04-08,11:14:00,19741.065,19754.65,19689.0,19697.3
2020-04-08,12:14:00,19281.7,19295.9,19264.25,19282.15
2020-04-08,13:14:00,19129.254999999997,19192.55,19152.3,19185.55
2020-04-08,14:14:00,18865.254999999997,18805.2,18769.85,18788.45
2020-04-08,15:14:00,18923.920000000002,18900.05,18875.15,18878.15
2020-04-09,09:07:00,19562.074999999997,19553.15,19553.15,19553.15
2020-04-09,10:14:00,19628.07,19637.55,19590.25,19627.15
2020-04-09,11:14:00,19275.075,19332.3,19294.25,19332.3
2020-04-09,12:14:00,19539.344999999998,19543.6,19515.7,19528.6
2020-04-09,13:14:00,19772.239999999998,19739.55,19696.45,19716.75
2020-04-09,14:14:00,19631.21,19644.05,19619.15,19622.2
2020-04-09,15:14:00,19915.655000000002,19975.95,19946.0,19946.0
2020-04-13,09:07:00,19740.094999999998,19854.9,19854.9,19854.9
2020-04-13,10:14:00,19412.555,19413.85,19382.6,19404.4
2020-04-13,11:14:00,19533.865,19523.55,19500.55,19517.3
2020-04-13,12:14:00,19723.174999999996,19766.35,19727.0,19737.9
2020-04-13,13:14:00,19501.245000000003,19538.15,19498.15,19498.15
2020-04-13,14:14:00,19349.805,19359.55,19334.3,19336.25
2020-04-13,15:14:00,19491.019999999997,19476.4,19462.15,19473.6
2020-04-15,09:07:00,19931.47,20096.35,20096.35,20096.35
2020-04-15,10:14:00,20026.489999999998,20068.05,20044.1,20050.0
2020-04-15,11:14:00,20076.605,20068.95,20057.95,20068.95
2020-04-15,12:14:00,20003.07,20013.7,19977.6,20008.95
2020-04-15,13:14:00,19684.26,19788.0,19752.3,19764.8
2020-04-15,14:14:00,18919.345,19084.4,19019.0,19042.9
2020-04-15,15:14:00,19073.340000000004,19049.3,19032.8,19044.15
2020-04-16,09:07:00,18844.65,18957.15,18957.15,18957.15
2020-04-16,10:14:00,18936.874999999996,18931.8,18899.2,18922.95
2020-04-16,11:14:00,19152.440000000002,19137.7,19088.9,19105.65
2020-04-16,12:14:00,19331.82,19318.0,19278.45,19311.95
2020-04-16,13:14:00,19242.805,19285.75,19268.15,19271.0
2020-04-16,14:14:00,19319.735,19271.9,19247.95,19271.9
2020-04-16,15:14:00,19425.364999999998,19402.35,19391.3,19394.55
2020-04-17,09:07:00,20319.2,20394.75,20394.75,20394.75
2020-04-17,10:14:00,20185.305,20163.45,20094.55,20163.45
2020-04-17,11:14:00,20077.6,20035.8,19999.0,20011.0
2020-04-17,12:14:00,19858.0,19853.3,19809.75,19850.15
2020-04-17,13:14:00,19808.77,19843.95,19816.3,19843.95
2020-04-17,14:14:00,20039.445,20029.75,20002.1,20020.3
2020-04-17,15:14:00,20762.82,20766.85,20688.3,20745.15
2020-04-20,09:07:00,20869.385000000002,21104.7,21104.7,21104.7
2020-04-20,10:14:00,20744.425000000003,20764.05,20725.8,20764.05
2020-04-20,11:14:00,20859.335,20918.4,20900.4,20913.5
2020-04-20,12:14:00,20780.799999999996,20820.2,20803.85,20807.2
2020-04-20,13:14:00,20774.864999999998,20791.5,20766.55,20767.8
2020-04-20,14:14:00,20849.105,20797.8,20779.8,20784.05
2020-04-20,15:14:00,20542.995,20543.05,20515.75,20526.95
2020-04-21,09:07:00,19798.0,19812.05,19812.05,19812.05
2020-04-21,10:14:00,19689.925,19711.4,19692.65,19694.0
2020-04-21,11:14:00,19606.12,19638.95,19625.65,19627.4
2020-04-21,12:14:00,19558.659999999996,19580.6,19561.25,19565.85
2020-04-21,13:14:00,19329.63,19378.2,19361.2,19378.2
2020-04-21,14:14:00,19394.585,19359.9,19346.1,19347.7
2020-04-21,15:14:00,19418.05,19417.95,19407.05,19408.15
2020-04-22,09:07:00,19249.745000000003,19306.95,19306.95,19306.95
2020-04-22,10:14:00,19114.275,19118.6,19077.6,19108.65
2020-04-22,11:14:00,19574.935,19561.25,19516.7,19554.25
2020-04-22,12:14:00,19481.530000000006,19475.75,19450.15,19450.15
2020-04-22,13:14:00,19430.01,19476.15,19455.25,19455.25
2020-04-22,14:14:00,19570.454999999998,19523.15,19505.8,19507.05
2020-04-22,15:14:00,19714.385000000002,19717.1,19703.85,19707.9
2020-04-23,09:07:00,19771.215,19871.35,19871.35,19871.35
2020-04-23,10:14:00,19962.019999999997,19929.95,19910.05,19925.15
2020-04-23,11:14:00,19979.579999999998,19964.25,19946.6,19964.25
2020-04-23,12:14:00,20183.489999999998,20172.75,20155.0,20164.4
2020-04-23,13:14:00,20069.76,20128.55,20085.95,20128.55
2020-04-23,14:14:00,20231.185,20214.55,20175.4,20207.0
2020-04-23,15:14:00,20252.615,20287.25,20264.25,20285.55
2020-04-24,09:07:00,19698.265000000003,19697.65,19697.65,19697.65
2020-04-24,10:14:00,19741.129999999997,19739.35,19698.85,19704.05
2020-04-24,11:14:00,19674.03,19698.0,19682.55,19689.9
2020-04-24,12:14:00,19725.54,19717.7,19687.35,19717.7
2020-04-24,13:14:00,19871.545000000002,19909.05,19872.85,19879.5
2020-04-24,14:14:00,19579.43,19602.6,19583.2,19601.3
2020-04-24,15:14:00,19589.405,19570.4,19561.15,19569.55
2020-04-27,09:07:00,19929.405,19870.8,19870.8,19870.8
2020-04-27,10:14:00,20125.86,20089.1,20066.6,20075.15
2020-04-27,11:14:00,20123.57,20133.7,20122.7,20132.25
2020-04-27,12:14:00,20121.844999999998,20112.0,20097.8,20102.55
2020-04-27,13:14:00,20176.76,20177.5,20162.4,20167.75
2020-04-27,14:14:00,20068.61,20111.95,20094.85,20095.5
2020-04-27,15:14:00,20079.395,20086.55,20074.15,20080.25
2020-04-28,09:07:00,20459.6,20436.6,20436.6,20436.6
2020-04-28,10:14:00,20354.764999999996,20350.0,20332.65,20339.95
2020-04-28,11:14:00,20420.809999999998,20417.15,20404.7,20417.15
2020-04-28,12:14:00,20394.16,20409.9,20396.05,20396.05
2020-04-28,13:14:00,20554.719999999998,20523.95,20509.55,20519.6
2020-04-28,14:14:00,20626.595,20636.7,20619.2,20624.4
2020-04-28,15:14:00,20662.415,20685.15,20666.15,20667.9
2020-04-29,09:07:00,20571.800000000003,20440.4,20440.4,20440.4
2020-04-29,10:14:00,20713.16,20716.6,20691.75,20712.8
2020-04-29,11:14:00,20783.64,20792.55,20748.1,20785.55
2020-04-29,12:14:00,20790.41,20783.2,20775.8,20780.5
2020-04-29,13:14:00,20817.98,20844.7,20834.7,20837.05
2020-04-29,14:14:00,20913.055,20885.75,20872.5,20878.85
